罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,施錠関係,現金被害の有無
窃盗,車上ねらい,灘,西灘,281026,兵庫県,神戸市灘区,岩屋中町４丁目,20240730,19,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,灘,西灘,281026,兵庫県,神戸市灘区,岩屋中町５丁目,20240807,7,４階建て以上共同住宅,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,灘,西灘,281026,兵庫県,神戸市灘区,灘南通１丁目,20240726,17,４階建て以上共同住宅,その他,施錠せず,なし
窃盗,車上ねらい,灘,西灘,281026,兵庫県,神戸市灘区,灘南通６丁目,20230929,20,駐車（輪）場,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,灘,西灘,281026,兵庫県,神戸市灘区,船寺通１丁目,20240923,18,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,灘,西灘,281026,兵庫県,神戸市灘区,都通３丁目,20240216,16,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,灘,西灘,281026,兵庫県,神戸市灘区,摩耶海岸通１丁目,20241102,12,４階建て以上共同住宅,その他,施錠せず,あり
窃盗,車上ねらい,灘,六甲山上,281026,兵庫県,神戸市灘区,摩耶山町,20240302,18,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,葺合,宮本,281107,兵庫県,神戸市中央区,宮本通２丁目,20240729,17,４階建て以上共同住宅,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,葺合,中尾前,281107,兵庫県,神戸市中央区,籠池通３丁目,20240305,21,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,葺合,中尾前,281107,兵庫県,神戸市中央区,上筒井通２丁目,20240311,18,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,葺合,中尾前,281107,兵庫県,神戸市中央区,神仙寺通１丁目,20240303,23,駐車（輪）場,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,葺合,割塚,281107,兵庫県,神戸市中央区,日暮通３丁目,20240403,19,４階建て以上共同住宅,その他,施錠せず,あり
窃盗,車上ねらい,葺合,ＨＡＴ神戸,281107,兵庫県,神戸市中央区,脇浜海岸通１丁目,20240203,8,その他,その他,施錠せず,あり
窃盗,車上ねらい,葺合,ＨＡＴ神戸,281107,兵庫県,神戸市中央区,脇浜海岸通２丁目,20240221,17,その他,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,葺合,二宮,281107,兵庫県,神戸市中央区,琴ノ緒町２丁目,20240226,18,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,葺合,二宮,281107,兵庫県,神戸市中央区,琴ノ緒町４丁目,20240625,20,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,葺合,二宮,281107,兵庫県,神戸市中央区,琴ノ緒町４丁目,20241206,17,駐車（輪）場,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,葺合,三宮センター,281107,兵庫県,神戸市中央区,旭通２丁目,20240320,19,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,葺合,三宮センター,281107,兵庫県,神戸市中央区,旭通５丁目,20231231,11,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,葺合,三宮センター,281107,兵庫県,神戸市中央区,小野柄通６丁目,20240313,1,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,葺合,三宮センター,281107,兵庫県,神戸市中央区,小野柄通６丁目,20240413,20,道路上,その他,施錠せず,なし
窃盗,車上ねらい,葺合,三宮センター,281107,兵庫県,神戸市中央区,琴ノ緒町３丁目,20240902,9,駐車（輪）場,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,葺合,三宮センター,281107,兵庫県,神戸市中央区,琴ノ緒町５丁目,20240716,13,道路上,その他,施錠せず,なし
窃盗,車上ねらい,葺合,三宮センター,281107,兵庫県,神戸市中央区,八幡通２丁目,20240820,15,道路上,その他,施錠せず,あり
窃盗,車上ねらい,葺合,小野柄,281107,兵庫県,神戸市中央区,北本町通４丁目,20240415,1,その他,その他,施錠せず,あり
窃盗,車上ねらい,葺合,小野柄,281107,兵庫県,神戸市中央区,南本町通３丁目,20240805,13,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,葺合,小野柄,281107,兵庫県,神戸市中央区,南本町通３丁目,20241208,21,その他,その他,施錠した,あり
窃盗,車上ねらい,葺合,春日野,281107,兵庫県,神戸市中央区,北本町通１丁目,20231229,15,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,葺合,春日野,281107,兵庫県,神戸市中央区,北本町通１丁目,20240221,17,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,生田,北野,281107,兵庫県,神戸市中央区,北野町１丁目,20240101,5,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,生田,諏訪山,281107,兵庫県,神戸市中央区,神戸港地方,20240101,7,道路上,その他,施錠した,なし
窃盗,車上ねらい,生田,諏訪山,281107,兵庫県,神戸市中央区,神戸港地方字口一里山,20240330,3,駐車（輪）場,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,生田,諏訪山,281107,兵庫県,神戸市中央区,神戸港地方字口一里山,20240330,3,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,生田,諏訪山,281107,兵庫県,神戸市中央区,山本通４丁目,20240626,20,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,生田,諏訪山,281107,兵庫県,神戸市中央区,山本通５丁目,20240425,14,道路上,その他,施錠せず,なし
窃盗,車上ねらい,生田,生田前,281107,兵庫県,神戸市中央区,加納町４丁目,20240901,21,道路上,その他,施錠せず,なし
窃盗,車上ねらい,生田,生田前,281107,兵庫県,神戸市中央区,北長狭通１丁目,20240517,10,道路上,その他,施錠せず,あり
窃盗,車上ねらい,生田,生田前,281107,兵庫県,神戸市中央区,北長狭通１丁目,20240709,12,道路上,その他,施錠せず,あり
窃盗,車上ねらい,生田,生田前,281107,兵庫県,神戸市中央区,北長狭通１丁目,20240917,8,道路上,その他,施錠せず,あり
窃盗,車上ねらい,生田,生田前,281107,兵庫県,神戸市中央区,北長狭通１丁目,20240926,9,道路上,その他,施錠せず,あり
窃盗,車上ねらい,生田,生田前,281107,兵庫県,神戸市中央区,北長狭通１丁目,20241228,8,道路上,その他,施錠せず,なし
窃盗,車上ねらい,生田,生田前,281107,兵庫県,神戸市中央区,北長狭通２丁目,20240213,15,駐車（輪）場,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,生田,生田前,281107,兵庫県,神戸市中央区,北長狭通２丁目,20240525,19,道路上,その他,施錠せず,なし
窃盗,車上ねらい,生田,生田前,281107,兵庫県,神戸市中央区,中山手通１丁目,20240402,22,４階建て以上共同住宅,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,生田,生田前,281107,兵庫県,神戸市中央区,中山手通２丁目,20240229,12,道路上,その他,施錠せず,なし
窃盗,車上ねらい,生田,京町,281107,兵庫県,神戸市中央区,三宮町１丁目,20240225,19,駐車（輪）場,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,生田,元町駅,281107,兵庫県,神戸市中央区,海岸通１丁目,20240715,22,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,生田,元町駅,281107,兵庫県,神戸市中央区,北長狭通３丁目,20241212,17,駐車（輪）場,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,生田,元町駅,281107,兵庫県,神戸市中央区,栄町通２丁目,20240626,23,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,生田,元町駅,281107,兵庫県,神戸市中央区,下山手通４丁目,20240602,5,道路上,その他,施錠せず,なし
窃盗,車上ねらい,生田,元町駅,281107,兵庫県,神戸市中央区,元町通２丁目,20240330,0,道路上,その他,施錠せず,あり
窃盗,車上ねらい,生田,元町駅,281107,兵庫県,神戸市中央区,元町通２丁目,20240721,4,道路上,その他,施錠せず,あり
窃盗,車上ねらい,生田,元町通,281107,兵庫県,神戸市中央区,海岸通４丁目,20240428,19,４階建て以上共同住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,生田,元町通,281107,兵庫県,神戸市中央区,元町通４丁目,20240910,1,道路上,その他,施錠せず,あり
窃盗,車上ねらい,生田,元町通,281107,兵庫県,神戸市中央区,元町通５丁目,20240817,15,道路上,その他,施錠せず,あり
窃盗,車上ねらい,生田,下山手,281107,兵庫県,神戸市中央区,下山手通７丁目,20240602,18,その他,その他,施錠せず,あり
窃盗,車上ねらい,生田,下山手,281107,兵庫県,神戸市中央区,花隈町,20240721,21,道路上,その他,施錠せず,あり
窃盗,車上ねらい,生田,大倉山,281107,兵庫県,神戸市中央区,楠町２丁目,20240817,8,その他,その他,施錠せず,あり
窃盗,車上ねらい,生田,大倉山,281107,兵庫県,神戸市中央区,下山手通８丁目,20240621,18,その他,その他,施錠せず,なし
窃盗,車上ねらい,生田,デュオこうべ,281107,兵庫県,神戸市中央区,相生町３丁目,20240226,12,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,生田,デュオこうべ,281107,兵庫県,神戸市中央区,多聞通３丁目,20240813,11,道路上,その他,施錠せず,あり
窃盗,車上ねらい,生田,デュオこうべ,281107,兵庫県,神戸市中央区,中町通３丁目,20231229,23,駐車（輪）場,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,生田,デュオこうべ,281107,兵庫県,神戸市中央区,中町通３丁目,20240827,16,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,生田,デュオこうべ,281107,兵庫県,神戸市中央区,中町通３丁目,20241125,20,道路上,その他,施錠せず,なし
窃盗,車上ねらい,生田,ハーバーランド,281107,兵庫県,神戸市中央区,東川崎町１丁目,20240616,14,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,生田,ハーバーランド,281107,兵庫県,神戸市中央区,東川崎町１丁目,20241013,9,道路上,その他,施錠せず,なし
窃盗,車上ねらい,兵庫,荒田,281051,兵庫県,神戸市兵庫区,荒田町１丁目,20240303,0,道路上,その他,施錠せず,あり
窃盗,車上ねらい,兵庫,荒田,281051,兵庫県,神戸市兵庫区,荒田町２丁目,20240621,17,道路上,その他,施錠せず,なし
窃盗,車上ねらい,兵庫,荒田,281051,兵庫県,神戸市兵庫区,荒田町３丁目,20241221,19,道路上,その他,施錠せず,あり
窃盗,車上ねらい,兵庫,福原,281051,兵庫県,神戸市兵庫区,西上橘通２丁目,20240304,15,道路上,その他,施錠せず,あり
窃盗,車上ねらい,兵庫,福原,281051,兵庫県,神戸市兵庫区,西上橘通２丁目,20240420,21,４階建て以上共同住宅,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,兵庫,福原,281051,兵庫県,神戸市兵庫区,福原町,20240102,19,４階建て以上共同住宅,その他,施錠せず,なし
窃盗,車上ねらい,兵庫,福原,281051,兵庫県,神戸市兵庫区,福原町,20240218,9,４階建て以上共同住宅,その他,施錠せず,あり
窃盗,車上ねらい,兵庫,福原,281051,兵庫県,神戸市兵庫区,福原町,20240313,8,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,兵庫,福原,281051,兵庫県,神戸市兵庫区,福原町,20241126,14,４階建て以上共同住宅,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,兵庫,湊川,281051,兵庫県,神戸市兵庫区,上沢通１丁目,20241225,15,道路上,その他,施錠せず,なし
窃盗,車上ねらい,兵庫,湊川,281051,兵庫県,神戸市兵庫区,下沢通２丁目,20240111,18,道路上,その他,施錠せず,あり
窃盗,車上ねらい,兵庫,湊川,281051,兵庫県,神戸市兵庫区,新開地１丁目,20240516,14,４階建て以上共同住宅,その他,施錠せず,あり
窃盗,車上ねらい,兵庫,湊川,281051,兵庫県,神戸市兵庫区,新開地２丁目,20240721,22,その他,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,兵庫,湊川,281051,兵庫県,神戸市兵庫区,東山町２丁目,20240321,17,道路上,その他,施錠せず,なし
窃盗,車上ねらい,兵庫,新開地,281051,兵庫県,神戸市兵庫区,佐比江町,20240708,12,道路上,その他,施錠せず,なし
窃盗,車上ねらい,兵庫,新開地,281051,兵庫県,神戸市兵庫区,佐比江町,20240919,13,道路上,その他,施錠せず,なし
窃盗,車上ねらい,兵庫,新開地,281051,兵庫県,神戸市兵庫区,新開地４丁目,20240616,4,道路上,その他,施錠せず,あり
窃盗,車上ねらい,兵庫,新開地,281051,兵庫県,神戸市兵庫区,新開地４丁目,20240807,10,駐車（輪）場,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,兵庫,新開地,281051,兵庫県,神戸市兵庫区,東出町２丁目,20241125,16,その他,その他,施錠せず,あり
窃盗,車上ねらい,兵庫,新開地,281051,兵庫県,神戸市兵庫区,湊町１丁目,20240215,10,駐車（輪）場,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,兵庫,熊野,281051,兵庫県,神戸市兵庫区,夢野町３丁目,20240623,12,４階建て以上共同住宅,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,兵庫,菊水西,281051,兵庫県,神戸市兵庫区,菊水町１０丁目,20240113,15,４階建て以上共同住宅,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,兵庫,菊水西,281051,兵庫県,神戸市兵庫区,菊水町１０丁目,20240119,20,４階建て以上共同住宅,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,兵庫,菊水西,281051,兵庫県,神戸市兵庫区,菊水町１０丁目,20240112,15,４階建て以上共同住宅,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,兵庫,菊水西,281051,兵庫県,神戸市兵庫区,菊水町１０丁目,20240210,17,４階建て以上共同住宅,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,兵庫,皿池,281051,兵庫県,神戸市兵庫区,上沢通６丁目,20240323,0,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,兵庫,皿池,281051,兵庫県,神戸市兵庫区,下沢通３丁目,20241213,17,道路上,その他,施錠せず,なし
窃盗,車上ねらい,兵庫,皿池,281051,兵庫県,神戸市兵庫区,下沢通５丁目,20240901,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,兵庫,皿池,281051,兵庫県,神戸市兵庫区,下沢通８丁目,20240210,7,駐車（輪）場,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,兵庫,皿池,281051,兵庫県,神戸市兵庫区,中道通３丁目,20240901,18,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,兵庫,皿池,281051,兵庫県,神戸市兵庫区,中道通３丁目,20240915,8,道路上,その他,施錠せず,あり
窃盗,車上ねらい,兵庫,皿池,281051,兵庫県,神戸市兵庫区,中道通９丁目,20240524,10,道路上,その他,施錠せず,あり
窃盗,車上ねらい,兵庫,大開,281051,兵庫県,神戸市兵庫区,大開通５丁目,20241209,8,道路上,その他,施錠せず,なし
窃盗,車上ねらい,兵庫,大開,281051,兵庫県,神戸市兵庫区,大開通７丁目,20240315,18,道路上,その他,施錠せず,あり
窃盗,車上ねらい,兵庫,兵庫駅前,281051,兵庫県,神戸市兵庫区,駅前通１丁目,20240511,21,道路上,その他,施錠せず,なし
窃盗,車上ねらい,兵庫,兵庫駅前,281051,兵庫県,神戸市兵庫区,駅前通３丁目,20240712,4,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,兵庫,兵庫駅前,281051,兵庫県,神戸市兵庫区,駅南通５丁目,20240420,17,道路上,その他,施錠せず,なし
窃盗,車上ねらい,兵庫,兵庫駅前,281051,兵庫県,神戸市兵庫区,羽坂通４丁目,20240901,11,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,兵庫,七宮,281051,兵庫県,神戸市兵庫区,西柳原町,20240902,15,４階建て以上共同住宅,その他,施錠せず,あり
窃盗,車上ねらい,兵庫,七宮,281051,兵庫県,神戸市兵庫区,本町１丁目,20240922,22,４階建て以上共同住宅,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,兵庫,七宮,281051,兵庫県,神戸市兵庫区,門口町,20240914,18,道路上,その他,施錠せず,あり
窃盗,車上ねらい,兵庫,中之島,281051,兵庫県,神戸市兵庫区,中之島１丁目,20240413,8,その他,その他,施錠せず,あり
窃盗,車上ねらい,兵庫,明親,281051,兵庫県,神戸市兵庫区,駅前通５丁目,20240415,7,４階建て以上共同住宅,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,兵庫,明親,281051,兵庫県,神戸市兵庫区,駅南通４丁目,20240928,12,その他,その他,施錠せず,あり
窃盗,車上ねらい,兵庫,明親,281051,兵庫県,神戸市兵庫区,明和通３丁目,20241114,15,その他,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,兵庫,御崎公園,281051,兵庫県,神戸市兵庫区,三石通２丁目,20240125,20,駐車（輪）場,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,長田,丸山,281069,兵庫県,神戸市長田区,萩乃町３丁目,20240504,19,４階建て以上共同住宅,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,長田,丸山,281069,兵庫県,神戸市長田区,雲雀ケ丘１丁目,20240428,0,道路上,その他,施錠した,あり
窃盗,車上ねらい,長田,寺池,281069,兵庫県,神戸市長田区,片山町２丁目,20240813,14,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,長田,長田,281069,兵庫県,神戸市長田区,長田町１丁目,20240301,19,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,長田,長田,281069,兵庫県,神戸市長田区,林山町,20240823,16,道路上,その他,施錠せず,なし
窃盗,車上ねらい,長田,長田,281069,兵庫県,神戸市長田区,宮川町９丁目,20240317,18,一戸建住宅,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,長田,上池田,281069,兵庫県,神戸市長田区,上池田５丁目,20241121,16,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,長田,長田東,281069,兵庫県,神戸市長田区,五番町６丁目,20240801,11,その他,その他,施錠せず,あり
窃盗,車上ねらい,長田,長田東,281069,兵庫県,神戸市長田区,五番町７丁目,20240824,12,４階建て以上共同住宅,その他,施錠せず,なし
窃盗,車上ねらい,長田,長田東,281069,兵庫県,神戸市長田区,四番町１丁目,20240209,8,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,長田,長田東,281069,兵庫県,神戸市長田区,四番町８丁目,20240225,21,道路上,その他,施錠せず,なし
窃盗,車上ねらい,長田,御蔵,281069,兵庫県,神戸市長田区,北町２丁目,20240910,13,道路上,その他,施錠せず,あり
窃盗,車上ねらい,長田,御蔵,281069,兵庫県,神戸市長田区,北町２丁目,20241213,15,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,長田,御蔵,281069,兵庫県,神戸市長田区,北町３丁目,20240422,15,その他,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,長田,御蔵,281069,兵庫県,神戸市長田区,菅原通４丁目,20240430,12,道路上,その他,施錠せず,なし
窃盗,車上ねらい,長田,湊川大橋,281069,兵庫県,神戸市長田区,東尻池町４丁目,20240818,9,道路上,その他,施錠せず,あり
窃盗,車上ねらい,長田,大谷,281069,兵庫県,神戸市長田区,御船通３丁目,20240713,13,道路上,その他,施錠せず,あり
窃盗,車上ねらい,長田,大谷,281069,兵庫県,神戸市長田区,御船通５丁目,20240423,10,道路上,その他,施錠せず,なし
窃盗,車上ねらい,長田,大谷,281069,兵庫県,神戸市長田区,山下町１丁目,20240901,23,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,長田,新長田駅前,281069,兵庫県,神戸市長田区,大橋町６丁目,20241023,12,道路上,その他,施錠した,なし
窃盗,車上ねらい,長田,新長田駅前,281069,兵庫県,神戸市長田区,日吉町１丁目,20240521,19,その他,その他,施錠せず,あり
窃盗,車上ねらい,長田,新長田駅前,281069,兵庫県,神戸市長田区,日吉町１丁目,20240525,17,その他,その他,施錠せず,あり
窃盗,車上ねらい,長田,新長田駅前,281069,兵庫県,神戸市長田区,若松町４丁目,20240402,9,その他,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,長田,水笠,281069,兵庫県,神戸市長田区,御屋敷通１丁目,20240526,10,道路上,その他,施錠せず,あり
窃盗,車上ねらい,長田,水笠,281069,兵庫県,神戸市長田区,御屋敷通２丁目,20240713,9,駐車（輪）場,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,長田,水笠,281069,兵庫県,神戸市長田区,川西通４丁目,20240116,13,道路上,その他,施錠せず,あり
窃盗,車上ねらい,長田,水笠,281069,兵庫県,神戸市長田区,戸崎通３丁目,20241127,15,その他,その他,施錠せず,なし
窃盗,車上ねらい,長田,水笠,281069,兵庫県,神戸市長田区,細田町１丁目,20240107,15,その他,その他,施錠せず,あり
