罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,現金以外の主な被害品
窃盗,部品ねらい,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎南町５丁目,2019-06-23,17,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎南町７丁目,2019-08-31,20,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,東灘,ＪＲ住吉駅前,281018,兵庫県,神戸市東灘区,住吉宮町４丁目,2019-11-11,07,その他,その他
窃盗,部品ねらい,東灘,呉田,281018,兵庫県,神戸市東灘区,魚崎南町２丁目,2018-12-27,14,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,呉田,281018,兵庫県,神戸市東灘区,住吉南町３丁目,2019-06-13,23,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,石屋川,281018,兵庫県,神戸市東灘区,御影塚町４丁目,2019-11-20,12,その他の住宅（３階建て以下共同住宅等）,ナンバープレート
窃盗,部品ねらい,東灘,沢ノ井,281018,兵庫県,神戸市東灘区,御影１丁目,2019-09-16,00,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,阪急御影駅前,281018,兵庫県,神戸市東灘区,御影山手１丁目,2019-07-26,19,その他,その他
窃盗,部品ねらい,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中１丁目,2019-07-20,16,駐車（輪）場,その他
窃盗,部品ねらい,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中５丁目,2019-01-17,16,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中５丁目,2019-04-20,不明,駐車（輪）場,その他
窃盗,部品ねらい,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中５丁目,2019-09-29,20,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中６丁目,2019-01-02,14,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,灘,高羽,281026,兵庫県,神戸市灘区,高徳町１丁目,2019-05-25,12,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,灘,徳井,281026,兵庫県,神戸市灘区,大和町４丁目,2019-01-24,19,道路上,その他
窃盗,部品ねらい,灘,水道筋,281026,兵庫県,神戸市灘区,泉通１丁目,2019-11-27,15,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,灘,赤坂,281026,兵庫県,神戸市灘区,上野通７丁目,2019-02-03,08,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,灘,桜口,281026,兵庫県,神戸市灘区,新在家北町１丁目,2019-02-21,17,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,灘,桜口,281026,兵庫県,神戸市灘区,友田町３丁目,2019-09-15,23,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,灘,桜口,281026,兵庫県,神戸市灘区,浜田町１丁目,2019-01-29,03,駐車（輪）場,その他
窃盗,部品ねらい,灘,桜口,281026,兵庫県,神戸市灘区,浜田町４丁目,2019-07-20,17,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,灘,桜口,281026,兵庫県,神戸市灘区,深田町３丁目,2019-08-07,19,駐車（輪）場,その他
窃盗,部品ねらい,灘,大石,281026,兵庫県,神戸市灘区,新在家南町４丁目,2019-02-16,21,駐車（輪）場,その他
窃盗,部品ねらい,灘,西灘,281026,兵庫県,神戸市灘区,岩屋北町１丁目,2019-09-27,23,道路上,その他
窃盗,部品ねらい,灘,西灘,281026,兵庫県,神戸市灘区,灘浜町,2019-02-18,10,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,灘,西灘,281026,兵庫県,神戸市灘区,灘浜町,2019-10-14,13,その他,その他
窃盗,部品ねらい,灘,西灘,281026,兵庫県,神戸市灘区,摩耶埠頭,2019-10-05,13,駐車（輪）場,その他
窃盗,部品ねらい,灘,西灘,281026,兵庫県,神戸市灘区,摩耶埠頭,2019-11-14,13,その他,その他
窃盗,部品ねらい,灘,西灘,281026,兵庫県,神戸市灘区,味泥町,2019-08-30,23,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,灘,鶴甲,281026,兵庫県,神戸市灘区,六甲台町,2019-07-03,12,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,灘,ＨＡＴ神戸灘の浜,281026,兵庫県,神戸市灘区,摩耶海岸通２丁目,2019-06-23,20,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,葺合,宮本,281107,兵庫県,神戸市中央区,神若通１丁目,2019-09-03,22,駐車（輪）場,その他
窃盗,部品ねらい,葺合,中尾前,281107,兵庫県,神戸市中央区,上筒井通４丁目,2019-05-30,20,その他,その他
窃盗,部品ねらい,葺合,中尾前,281107,兵庫県,神戸市中央区,熊内町５丁目,2019-12-04,18,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,葺合,熊内,281107,兵庫県,神戸市中央区,生田町１丁目,2019-11-05,07,駐車（輪）場,その他
窃盗,部品ねらい,葺合,熊内,281107,兵庫県,神戸市中央区,加納町１丁目,2019-11-02,09,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,葺合,熊内,281107,兵庫県,神戸市中央区,中島通１丁目,2018-06-01,19,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,葺合,割塚,281107,兵庫県,神戸市中央区,東雲通４丁目,2019-08-31,21,道路上,その他
窃盗,部品ねらい,葺合,ＨＡＴ神戸,281107,兵庫県,神戸市中央区,脇浜海岸通４丁目,2019-03-21,17,駐車（輪）場,その他
窃盗,部品ねらい,葺合,二宮,281107,兵庫県,神戸市中央区,生田町２丁目,2019-01-05,17,駐車（輪）場,その他
窃盗,部品ねらい,葺合,二宮,281107,兵庫県,神戸市中央区,生田町２丁目,2019-05-15,17,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,葺合,二宮,281107,兵庫県,神戸市中央区,琴ノ緒町１丁目,2019-12-20,23,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,葺合,三宮センター,281107,兵庫県,神戸市中央区,旭通２丁目,2019-11-17,10,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,葺合,三宮センター,281107,兵庫県,神戸市中央区,磯辺通２丁目,2019-02-28,20,駐車（輪）場,その他
窃盗,部品ねらい,葺合,三宮センター,281107,兵庫県,神戸市中央区,磯辺通４丁目,2019-07-29,00,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,葺合,小野柄,281107,兵庫県,神戸市中央区,磯上通４丁目,2019-02-21,19,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,葺合,小野柄,281107,兵庫県,神戸市中央区,雲井通３丁目,2019-11-09,10,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,葺合,小野柄,281107,兵庫県,神戸市中央区,雲井通４丁目,2019-01-19,18,駐車（輪）場,その他
窃盗,部品ねらい,葺合,小野柄,281107,兵庫県,神戸市中央区,雲井通４丁目,2019-07-23,09,駐車（輪）場,その他
窃盗,部品ねらい,葺合,小野柄,281107,兵庫県,神戸市中央区,御幸通３丁目,2019-09-11,00,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,葺合,春日野,281107,兵庫県,神戸市中央区,脇浜町２丁目,2019-07-18,11,一戸建住宅,ナンバープレート
窃盗,部品ねらい,生田,一宮,281107,兵庫県,神戸市中央区,山本通２丁目,2019-05-25,12,駐車（輪）場,その他
窃盗,部品ねらい,生田,諏訪山,281107,兵庫県,神戸市中央区,山本通５丁目,2019-10-22,18,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,生田,生田前,281107,兵庫県,神戸市中央区,加納町４丁目,2019-01-26,18,駐車（輪）場,その他
窃盗,部品ねらい,生田,元町駅,281107,兵庫県,神戸市中央区,下山手通４丁目,2018-04-01,00,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,生田,下山手,281107,兵庫県,神戸市中央区,北長狭通５丁目,2019-08-06,20,駐車（輪）場,その他
窃盗,部品ねらい,生田,下山手,281107,兵庫県,神戸市中央区,中山手通８丁目,2019-04-05,17,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,生田,大倉山,281107,兵庫県,神戸市中央区,楠町７丁目,2019-05-24,09,駐車（輪）場,その他
窃盗,部品ねらい,生田,大倉山,281107,兵庫県,神戸市中央区,楠町７丁目,2019-10-09,12,道路上,その他
窃盗,部品ねらい,生田,大倉山,281107,兵庫県,神戸市中央区,元町高架通,2018-05-02,13,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,生田,大倉山,281107,兵庫県,神戸市中央区,元町通７丁目,2019-09-09,17,道路上,その他
窃盗,部品ねらい,生田,デュオこうべ,281107,兵庫県,神戸市中央区,相生町４丁目,2019-04-08,07,駐車（輪）場,その他
窃盗,部品ねらい,生田,ハーバーランド,281107,兵庫県,神戸市中央区,東川崎町１丁目,2019-10-04,15,駐車（輪）場,その他
窃盗,部品ねらい,生田,ハーバーランド,281107,兵庫県,神戸市中央区,東川崎町１丁目,2019-10-10,12,駐車（輪）場,その他
窃盗,部品ねらい,兵庫,平野,281051,兵庫県,神戸市兵庫区,石井町８丁目,2019-11-12,20,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,兵庫,平野,281051,兵庫県,神戸市兵庫区,菊水町２丁目,2019-01-22,21,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,兵庫,平野,281051,兵庫県,神戸市兵庫区,菊水町２丁目,2019-01-30,20,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,兵庫,平野,281051,兵庫県,神戸市兵庫区,菊水町２丁目,2019-02-20,16,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,兵庫,平野,281051,兵庫県,神戸市兵庫区,菊水町２丁目,2019-06-10,17,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,兵庫,平野,281051,兵庫県,神戸市兵庫区,菊水町３丁目,2019-07-10,16,道路上,ナンバープレート
窃盗,部品ねらい,兵庫,平野,281051,兵庫県,神戸市兵庫区,五宮町,2019-12-07,12,道路上,その他
窃盗,部品ねらい,兵庫,平野,281051,兵庫県,神戸市兵庫区,天王町３丁目,2019-07-23,09,道路上,ナンバープレート
窃盗,部品ねらい,兵庫,荒田,281051,兵庫県,神戸市兵庫区,荒田町１丁目,2019-11-15,17,駐車（輪）場,その他
窃盗,部品ねらい,兵庫,荒田,281051,兵庫県,神戸市兵庫区,荒田町２丁目,2019-06-17,19,道路上,その他
窃盗,部品ねらい,兵庫,福原,281051,兵庫県,神戸市兵庫区,西橘通１丁目,2019-11-13,00,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,兵庫,福原,281051,兵庫県,神戸市兵庫区,西出町２丁目,2019-09-13,10,駐車（輪）場,その他
窃盗,部品ねらい,兵庫,福原,281051,兵庫県,神戸市兵庫区,福原町,2019-11-03,12,駐車（輪）場,その他
窃盗,部品ねらい,兵庫,福原,281051,兵庫県,神戸市兵庫区,福原町,2019-11-27,09,駐車（輪）場,その他
窃盗,部品ねらい,兵庫,湊川,281051,兵庫県,神戸市兵庫区,石井町８丁目,2018-08-01,00,道路上,ナンバープレート
窃盗,部品ねらい,兵庫,湊川,281051,兵庫県,神戸市兵庫区,新開地１丁目,2019-02-01,17,駐車（輪）場,その他
窃盗,部品ねらい,兵庫,湊川,281051,兵庫県,神戸市兵庫区,新開地１丁目,2019-04-07,11,道路上,その他
窃盗,部品ねらい,兵庫,湊川,281051,兵庫県,神戸市兵庫区,新開地２丁目,2019-10-06,16,道路上,ナンバープレート
窃盗,部品ねらい,兵庫,湊川,281051,兵庫県,神戸市兵庫区,水木通２丁目,2019-04-02,17,その他,その他
窃盗,部品ねらい,兵庫,新開地,281051,兵庫県,神戸市兵庫区,大開通１丁目,2019-10-21,19,道路上,ナンバープレート
窃盗,部品ねらい,兵庫,新開地,281051,兵庫県,神戸市兵庫区,西出町１丁目,2019-09-14,22,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,兵庫,新開地,281051,兵庫県,神戸市兵庫区,湊町１丁目,2019-06-08,01,駐車（輪）場,その他
窃盗,部品ねらい,兵庫,新開地,281051,兵庫県,神戸市兵庫区,湊町１丁目,2019-12-21,17,駐車（輪）場,その他
窃盗,部品ねらい,兵庫,新開地,281051,兵庫県,神戸市兵庫区,湊町３丁目,2019-06-08,00,道路上,その他
窃盗,部品ねらい,兵庫,熊野,281051,兵庫県,神戸市兵庫区,熊野町３丁目,2019-07-20,00,その他の住宅（３階建て以下共同住宅等）,その他
窃盗,部品ねらい,兵庫,熊野,281051,兵庫県,神戸市兵庫区,清水町,2019-06-10,19,道路上,その他
窃盗,部品ねらい,兵庫,熊野,281051,兵庫県,神戸市兵庫区,湊川町５丁目,2019-05-16,15,駐車（輪）場,その他
窃盗,部品ねらい,兵庫,熊野,281051,兵庫県,神戸市兵庫区,湊川町６丁目,2019-10-10,22,駐車（輪）場,その他
窃盗,部品ねらい,兵庫,皿池,281051,兵庫県,神戸市兵庫区,会下山町３丁目,2019-08-19,08,道路上,その他
窃盗,部品ねらい,兵庫,皿池,281051,兵庫県,神戸市兵庫区,上沢通８丁目,2019-09-27,07,道路上,その他
窃盗,部品ねらい,兵庫,皿池,281051,兵庫県,神戸市兵庫区,松本通７丁目,2019-08-17,21,駐車（輪）場,その他
窃盗,部品ねらい,兵庫,大開,281051,兵庫県,神戸市兵庫区,三川口町２丁目,2019-12-12,09,道路上,その他
窃盗,部品ねらい,兵庫,兵庫駅前,281051,兵庫県,神戸市兵庫区,大開通８丁目,2019-09-25,06,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,兵庫,兵庫駅前,281051,兵庫県,神戸市兵庫区,大開通８丁目,2019-10-03,15,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,兵庫,七宮,281051,兵庫県,神戸市兵庫区,浜崎通,2019-04-04,07,駐車（輪）場,その他
窃盗,部品ねらい,兵庫,七宮,281051,兵庫県,神戸市兵庫区,門口町,2019-12-23,06,道路上,ナンバープレート
窃盗,部品ねらい,兵庫,中之島,281051,兵庫県,神戸市兵庫区,築地町,2019-10-09,08,道路上,その他
窃盗,部品ねらい,兵庫,中之島,281051,兵庫県,神戸市兵庫区,中之島１丁目,2019-01-07,17,その他,その他
窃盗,部品ねらい,兵庫,明親,281051,兵庫県,神戸市兵庫区,駅南通３丁目,2019-07-04,16,駐車（輪）場,その他
窃盗,部品ねらい,兵庫,明親,281051,兵庫県,神戸市兵庫区,小河通３丁目,2019-05-11,16,駐車（輪）場,なし
窃盗,部品ねらい,兵庫,キャナルタウン,281051,兵庫県,神戸市兵庫区,駅前通５丁目,2019-10-30,07,駐車（輪）場,その他
窃盗,部品ねらい,兵庫,キャナルタウン,281051,兵庫県,神戸市兵庫区,駅南通５丁目,2019-02-04,21,駐車（輪）場,その他
窃盗,部品ねらい,兵庫,キャナルタウン,281051,兵庫県,神戸市兵庫区,駅南通５丁目,2019-12-23,00,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,兵庫,キャナルタウン,281051,兵庫県,神戸市兵庫区,駅南通５丁目,2019-12-25,07,駐車（輪）場,なし
窃盗,部品ねらい,長田,丸山,281069,兵庫県,神戸市長田区,大日丘町２丁目,2019-08-01,19,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,長田,名倉,281069,兵庫県,神戸市長田区,長田天神町２丁目,2019-10-03,22,道路上,ナンバープレート
窃盗,部品ねらい,長田,名倉,281069,兵庫県,神戸市長田区,長田天神町５丁目,2019-07-24,19,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,長田,上池田,281069,兵庫県,神戸市長田区,上池田４丁目,2019-07-20,11,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,長田,長田東,281069,兵庫県,神戸市長田区,四番町４丁目,2018-12-27,18,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,長田,長田東,281069,兵庫県,神戸市長田区,四番町５丁目,2018-09-01,18,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,長田,御蔵,281069,兵庫県,神戸市長田区,北町１丁目,2019-01-01,01,道路上,その他
窃盗,部品ねらい,長田,御蔵,281069,兵庫県,神戸市長田区,北町１丁目,2019-12-03,18,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,長田,御蔵,281069,兵庫県,神戸市長田区,御蔵通１丁目,2019-09-18,20,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,長田,御蔵,281069,兵庫県,神戸市長田区,御蔵通１丁目,2019-10-01,00,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,長田,湊川大橋,281069,兵庫県,神戸市長田区,苅藻島町１丁目,2019-09-17,16,道路上,ナンバープレート
窃盗,部品ねらい,長田,湊川大橋,281069,兵庫県,神戸市長田区,東尻池新町,2019-10-15,08,駐車（輪）場,その他
窃盗,部品ねらい,長田,湊川大橋,281069,兵庫県,神戸市長田区,東尻池町２丁目,2019-06-10,15,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,長田,湊川大橋,281069,兵庫県,神戸市長田区,東尻池町７丁目,2019-01-14,17,駐車（輪）場,その他
窃盗,部品ねらい,長田,大谷,281069,兵庫県,神戸市長田区,大谷町３丁目,2019-09-30,19,駐車（輪）場,その他
窃盗,部品ねらい,長田,水笠,281069,兵庫県,神戸市長田区,神楽町３丁目,2019-02-17,17,駐車（輪）場,その他
窃盗,部品ねらい,長田,水笠,281069,兵庫県,神戸市長田区,松野通１丁目,2019-04-19,17,駐車（輪）場,その他
窃盗,部品ねらい,長田,水笠,281069,兵庫県,神戸市長田区,水笠通１丁目,2019-09-02,08,道路上,ナンバープレート
窃盗,部品ねらい,須磨,板宿,281077,兵庫県,神戸市須磨区,神撫町１丁目,2019-07-29,18,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,須磨,板宿,281077,兵庫県,神戸市須磨区,飛松町２丁目,2019-10-16,04,その他の住宅（３階建て以下共同住宅等）,その他
窃盗,部品ねらい,須磨,板宿,281077,兵庫県,神戸市須磨区,平田町３丁目,2019-03-26,07,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,須磨,千歳,281077,兵庫県,神戸市須磨区,大池町４丁目,2019-11-03,08,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,須磨,東須磨,281077,兵庫県,神戸市須磨区,松風町３丁目,2019-01-28,12,４階建て以上共同住宅,その他
窃盗,部品ねらい,須磨,若宮,281077,兵庫県,神戸市須磨区,衣掛町３丁目,2019-08-22,18,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,須磨,若宮,281077,兵庫県,神戸市須磨区,須磨浦通１丁目,2019-08-14,17,駐車（輪）場,その他
窃盗,部品ねらい,須磨,若宮,281077,兵庫県,神戸市須磨区,外浜町２丁目,2019-08-20,19,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,須磨,若宮,281077,兵庫県,神戸市須磨区,外浜町２丁目,2019-09-18,10,駐車（輪）場,その他
窃盗,部品ねらい,須磨,須磨駅前,281077,兵庫県,神戸市須磨区,須磨浦通５丁目,2019-05-30,06,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,須磨,須磨駅前,281077,兵庫県,神戸市須磨区,天神町１丁目,2019-05-17,22,駐車（輪）場,その他
窃盗,部品ねらい,須磨,妙法寺,281077,兵庫県,神戸市須磨区,車字獅堀,2018-10-01,15,その他,カーナビ
窃盗,部品ねらい,須磨,妙法寺,281077,兵庫県,神戸市須磨区,車字梨川,2019-10-26,16,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,須磨,妙法寺,281077,兵庫県,神戸市須磨区,妙法寺字蓮池,2019-08-25,00,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,須磨,妙法寺,281077,兵庫県,神戸市須磨区,桜の杜２丁目,2019-09-12,19,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,須磨,多井畑,281077,兵庫県,神戸市須磨区,多井畑南町,2019-01-22,11,道路上,その他
窃盗,部品ねらい,須磨,白川台,281077,兵庫県,神戸市須磨区,白川台２丁目,2019-11-18,16,駐車（輪）場,その他
窃盗,部品ねらい,須磨,高倉台,281077,兵庫県,神戸市須磨区,高倉台４丁目,2019-01-27,13,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,須磨,高倉台,281077,兵庫県,神戸市須磨区,高倉台４丁目,2019-03-01,10,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,須磨,名谷中央,281077,兵庫県,神戸市須磨区,北落合１丁目,2019-07-03,15,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,須磨,名谷中央,281077,兵庫県,神戸市須磨区,北落合２丁目,2019-03-02,07,駐車（輪）場,その他
窃盗,部品ねらい,須磨,名谷中央,281077,兵庫県,神戸市須磨区,北落合５丁目,2019-11-21,21,駐車（輪）場,その他
窃盗,部品ねらい,須磨,名谷中央,281077,兵庫県,神戸市須磨区,中落合２丁目,2019-02-14,09,駐車（輪）場,その他
窃盗,部品ねらい,須磨,名谷中央,281077,兵庫県,神戸市須磨区,中落合２丁目,2019-11-07,16,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,須磨,名谷中央,281077,兵庫県,神戸市須磨区,西落合１丁目,2019-04-25,17,その他,その他
窃盗,部品ねらい,須磨,名谷中央,281077,兵庫県,神戸市須磨区,東落合１丁目,不明,不明,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,垂水,平尾,281085,兵庫県,神戸市垂水区,下畑町,2019-09-16,07,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,垂水,名谷,281085,兵庫県,神戸市垂水区,名谷町,2019-03-19,22,駐車（輪）場,その他
窃盗,部品ねらい,垂水,垂水駅前,281085,兵庫県,神戸市垂水区,旭が丘３丁目,2019-03-06,22,その他,ナンバープレート
窃盗,部品ねらい,垂水,舞子駅前,281085,兵庫県,神戸市垂水区,東舞子町,2019-07-24,05,駐車（輪）場,その他
窃盗,部品ねらい,垂水,舞子駅前,281085,兵庫県,神戸市垂水区,東舞子町,2019-07-24,08,駐車（輪）場,その他
窃盗,部品ねらい,垂水,舞子駅前,281085,兵庫県,神戸市垂水区,舞子台８丁目,2019-11-23,18,駐車（輪）場,その他
窃盗,部品ねらい,垂水,西舞子,281085,兵庫県,神戸市垂水区,狩口台６丁目,2019-08-25,17,駐車（輪）場,その他
窃盗,部品ねらい,垂水,西舞子,281085,兵庫県,神戸市垂水区,清水が丘１丁目,2019-12-13,11,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,垂水,多聞,281085,兵庫県,神戸市垂水区,多聞台３丁目,2019-06-02,20,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,垂水,明舞,281085,兵庫県,神戸市垂水区,神陵台４丁目,2019-01-31,18,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,垂水,明舞,281085,兵庫県,神戸市垂水区,神陵台６丁目,2019-06-10,08,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,垂水,新多聞,281085,兵庫県,神戸市垂水区,本多聞２丁目,2019-12-09,16,その他,その他
窃盗,部品ねらい,垂水,新多聞,281085,兵庫県,神戸市垂水区,小束山１丁目,2019-06-14,10,駐車（輪）場,その他
窃盗,部品ねらい,神戸水上,新港,281107,兵庫県,神戸市中央区,小野浜町,2019-10-15,12,駐車（輪）場,その他
窃盗,部品ねらい,神戸水上,新港,281107,兵庫県,神戸市中央区,新港町,2018-09-10,06,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,神戸水上,ポートアイランド,281107,兵庫県,神戸市中央区,小野浜町,2019-04-20,14,駐車（輪）場,その他
窃盗,部品ねらい,神戸水上,ポートアイランド,281107,兵庫県,神戸市中央区,港島中町２丁目,2019-11-11,20,駐車（輪）場,その他
窃盗,部品ねらい,神戸水上,ポートアイランド,281107,兵庫県,神戸市中央区,港島中町３丁目,2019-04-28,09,駐車（輪）場,その他
窃盗,部品ねらい,神戸水上,ポートアイランド,281107,兵庫県,神戸市中央区,港島中町３丁目,2019-11-01,18,駐車（輪）場,その他
