罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,被害者の年齢,被害者の職業,施錠関係
窃盗,自転車盗,三田,ウッディタウン中央,282197,兵庫県,三田市,ゆりのき台１丁目,2025/5/20,18,４階建て以上共同住宅,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,三田,ウッディタウン中央,282197,兵庫県,三田市,ゆりのき台４丁目,2025/4/26,16,一戸建住宅,駐車（輪）場,70歳以上,その他,施錠した
窃盗,自転車盗,三田,ウッディタウン中央,282197,兵庫県,三田市,学園上ケ原,2025/6/9,12,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,三田,ウッディタウン中央,282197,兵庫県,三田市,学園上ケ原,2025/6/30,9,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,三田,ウッディタウン中央,282197,兵庫県,三田市,学園上ケ原,2025/9/17,13,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,三田,ウッディタウン中央,282197,兵庫県,三田市,学園上ケ原,2025/10/29,8,その他,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,三田,ウッディタウン中央,282197,兵庫県,三田市,学園上ケ原,2025/10/29,11,その他,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,三田,ウッディタウン中央,282197,兵庫県,三田市,学園上ケ原,2025/11/5,11,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,三田,ウッディタウン中央,282197,兵庫県,三田市,学園上ケ原,2025/11/18,10,その他,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,三田,ウッディタウン中央,282197,兵庫県,三田市,学園上ケ原,2025/11/20,11,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,三田,フラワータウン,282197,兵庫県,三田市,武庫が丘４丁目,2025/10/29,16,その他,駐車（輪）場,70歳以上,その他,施錠せず
窃盗,自転車盗,三田,フラワータウン,282197,兵庫県,三田市,武庫が丘７丁目,2024/11/20,17,その他,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,三田,フラワータウン,282197,兵庫県,三田市,武庫が丘７丁目,2025/7/30,18,４階建て以上共同住宅,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,三田,フラワータウン,282197,兵庫県,三田市,武庫が丘７丁目,2025/12/12,13,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,三田,フラワータウン,282197,兵庫県,三田市,弥生が丘１丁目,2024/10/21,0,駐車（輪）場,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,三田,フラワータウン,282197,兵庫県,三田市,弥生が丘１丁目,2025/1/15,18,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,三田,フラワータウン,282197,兵庫県,三田市,弥生が丘１丁目,2025/8/5,7,その他,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,三田,フラワータウン,282197,兵庫県,三田市,弥生が丘１丁目,2025/8/12,11,道路上,その他,10歳代,大学生,施錠せず
窃盗,自転車盗,三田,フラワータウン,282197,兵庫県,三田市,弥生が丘１丁目,2025/8/14,23,その他,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,三田,フラワータウン,282197,兵庫県,三田市,弥生が丘１丁目,2025/9/10,6,その他,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,三田,フラワータウン,282197,兵庫県,三田市,弥生が丘１丁目,2025/9/15,12,その他,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,三田,フラワータウン,282197,兵庫県,三田市,弥生が丘１丁目,2025/12/9,7,道路上,その他,30歳代,その他,施錠せず
窃盗,自転車盗,三田,フラワータウン,282197,兵庫県,三田市,弥生が丘４丁目,2025/8/21,15,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,三田,三田駅前,282197,兵庫県,三田市,高次１丁目,2025/8/30,18,４階建て以上共同住宅,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,三田,三田駅前,282197,兵庫県,三田市,高次２丁目,2024/5/1,0,４階建て以上共同住宅,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,三田,三田駅前,282197,兵庫県,三田市,高次２丁目,2025/6/14,0,４階建て以上共同住宅,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,三田,三田駅前,282197,兵庫県,三田市,三輪１丁目,2025/10/13,6,その他,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,三田,三田駅前,282197,兵庫県,三田市,三輪１丁目,2025/11/21,11,その他,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,三田,三田駅前,282197,兵庫県,三田市,三輪２丁目,2025/9/24,15,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,三田,三田駅前,282197,兵庫県,三田市,三輪２丁目,2025/10/27,9,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,三田,三田駅前,282197,兵庫県,三田市,相生町,2025/6/30,8,道路上,その他,20歳代,その他,施錠せず
窃盗,自転車盗,三田,三田駅前,282197,兵庫県,三田市,駅前町,2025/9/8,23,その他,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,三田,三田駅前,282197,兵庫県,三田市,天神１丁目,2025/6/2,14,その他,その他,30歳代,その他,施錠せず
窃盗,自転車盗,三田,三田駅前,282197,兵庫県,三田市,天神２丁目,2025/7/18,15,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,三田,三田駅前,282197,兵庫県,三田市,南が丘１丁目,2025/12/18,15,４階建て以上共同住宅,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,三田,三田駅前,282197,兵庫県,三田市,南が丘２丁目,2025/3/8,13,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,三田,三田駅前,282197,兵庫県,三田市,南が丘２丁目,2025/6/18,18,その他,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,三田,三田駅前,282197,兵庫県,三田市,南が丘２丁目,2025/9/25,9,その他,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,三田,三田駅前,282197,兵庫県,三田市,三田町,2025/8/10,22,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,三田,三田駅前,282197,兵庫県,三田市,学園上ケ原,2025/6/24,10,その他,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,三田,三田駅前,282197,兵庫県,三田市,学園上ケ原,2025/7/15,16,その他,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,三田,南ウッディタウン,282197,兵庫県,三田市,福島１丁目,2025/1/20,11,道路上,その他,20歳代,大学生,施錠した
窃盗,自転車盗,三田,南ウッディタウン,282197,兵庫県,三田市,すずかけ台２丁目,2025/5/16,13,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,三田,南ウッディタウン,282197,兵庫県,三田市,すずかけ台２丁目,2025/7/15,17,道路上,その他,10歳代,中学生,施錠せず
窃盗,自転車盗,三田,南ウッディタウン,282197,兵庫県,三田市,すずかけ台２丁目,2025/7/28,18,道路上,その他,10歳代,中学生,施錠せず
窃盗,自転車盗,三田,南ウッディタウン,282197,兵庫県,三田市,すずかけ台３丁目,2025/5/11,10,その他,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,三田,南ウッディタウン,282197,兵庫県,三田市,ゆりのき台１丁目,2025/10/16,16,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,三田,広野,282197,兵庫県,三田市,下井沢,2025/7/15,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,三田,広野,282197,兵庫県,三田市,広野,2024/12/27,14,その他,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,三田,広野,282197,兵庫県,三田市,広野,2025/2/4,16,その他,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,三田,広野,282197,兵庫県,三田市,広野,2025/5/26,7,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,三田,広野,282197,兵庫県,三田市,広野,2025/8/16,16,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,三田,広野,282197,兵庫県,三田市,広野,2025/8/23,16,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,三田,広野,282197,兵庫県,三田市,広野,2025/10/22,11,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中２丁目,2024/10/23,18,その他,駐車（輪）場,70歳以上,その他,施錠した
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中２丁目,2025/6/12,17,道路上,その他,10歳代,中学生,施錠せず
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中２丁目,2025/9/9,16,道路上,その他,10歳代,小学生,施錠せず
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中２丁目,2025/9/10,20,駐車（輪）場,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中２丁目,2025/10/18,13,道路上,その他,10歳代,小学生,施錠せず
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中２丁目,2025/12/12,13,駐車（輪）場,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中２丁目,2025/12/28,17,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中４丁目,2025/6/5,7,その他,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中４丁目,2025/7/29,8,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中５丁目,2024/10/1,7,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中５丁目,2025/5/31,17,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中５丁目,2025/8/1,12,４階建て以上共同住宅,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中５丁目,2025/11/25,18,その他,その他,40歳代,その他,施錠した
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中６丁目,2025/1/8,7,駐車（輪）場,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中６丁目,2025/1/15,16,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中６丁目,2025/3/29,19,駐車（輪）場,駐車（輪）場,60-64歳,その他,施錠せず
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中６丁目,2025/5/3,8,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中６丁目,2025/7/6,10,駐車（輪）場,駐車（輪）場,10歳代,小学生,施錠した
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中７丁目,2025/3/14,13,４階建て以上共同住宅,駐車（輪）場,10歳未満,小学生,施錠せず
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中７丁目,2025/4/11,13,４階建て以上共同住宅,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中７丁目,2025/4/26,18,４階建て以上共同住宅,駐車（輪）場,10歳代,小学生,施錠せず
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中７丁目,2025/6/16,22,道路上,その他,10歳代,高校生,施錠せず
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中８丁目,2025/11/21,15,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中９丁目,2025/10/30,16,その他,その他,10歳代,小学生,施錠せず
窃盗,自転車盗,東灘,呉田,281018,兵庫県,神戸市東灘区,魚崎西町１丁目,2025/3/10,10,その他,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,東灘,呉田,281018,兵庫県,神戸市東灘区,魚崎西町１丁目,2025/4/8,8,その他,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,東灘,呉田,281018,兵庫県,神戸市東灘区,魚崎西町１丁目,2025/7/8,6,その他,その他,40歳代,その他,施錠した
窃盗,自転車盗,東灘,呉田,281018,兵庫県,神戸市東灘区,魚崎西町１丁目,2025/8/29,22,その他,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,東灘,呉田,281018,兵庫県,神戸市東灘区,魚崎西町１丁目,2025/11/12,20,道路上,その他,20歳代,その他,施錠せず
窃盗,自転車盗,東灘,呉田,281018,兵庫県,神戸市東灘区,魚崎西町３丁目,2025/4/16,19,一戸建住宅,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,東灘,呉田,281018,兵庫県,神戸市東灘区,魚崎西町３丁目,2025/10/2,21,道路上,その他,30歳代,その他,施錠した
窃盗,自転車盗,東灘,呉田,281018,兵庫県,神戸市東灘区,魚崎西町４丁目,2025/1/22,16,その他,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,東灘,呉田,281018,兵庫県,神戸市東灘区,魚崎西町４丁目,2025/6/11,17,その他,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,東灘,呉田,281018,兵庫県,神戸市東灘区,魚崎南町８丁目,2025/6/5,19,その他の住宅（３階建て以下共同住宅等）,その他,10歳代,中学生,施錠した
窃盗,自転車盗,東灘,呉田,281018,兵庫県,神戸市東灘区,住吉東町１丁目,2025/4/21,14,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,東灘,呉田,281018,兵庫県,神戸市東灘区,住吉南町２丁目,2025/1/21,10,道路上,その他,30歳代,その他,施錠した
窃盗,自転車盗,東灘,呉田,281018,兵庫県,神戸市東灘区,住吉南町３丁目,2025/2/8,22,駐車（輪）場,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,東灘,呉田,281018,兵庫県,神戸市東灘区,住吉南町３丁目,2025/11/20,0,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,東灘,呉田,281018,兵庫県,神戸市東灘区,住吉南町５丁目,2025/5/10,17,その他,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,東灘,呉田,281018,兵庫県,神戸市東灘区,住吉南町５丁目,2025/6/15,22,道路上,その他,20歳代,その他,施錠した
窃盗,自転車盗,東灘,呉田,281018,兵庫県,神戸市東灘区,御影本町２丁目,2024/12/16,17,４階建て以上共同住宅,駐車（輪）場,10歳代,小学生,施錠せず
窃盗,自転車盗,東灘,呉田,281018,兵庫県,神戸市東灘区,御影本町２丁目,2025/4/14,19,その他,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,東灘,呉田,281018,兵庫県,神戸市東灘区,御影本町８丁目,2025/8/26,18,一戸建住宅,その他,30歳代,その他,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,2025/1/7,15,その他,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,2025/1/10,18,その他,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,2025/1/25,8,その他,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,2025/5/7,20,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,2025/5/15,21,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,2025/5/21,6,その他,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,2025/6/14,9,その他,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,2025/6/28,10,その他,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,2025/7/3,21,その他,その他,10歳代,大学生,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,2025/7/4,16,その他,駐車（輪）場,60-64歳,その他,施錠した
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,2025/7/10,8,道路上,その他,10歳代,高校生,施錠した
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,2025/7/15,17,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,2025/7/31,15,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,2025/8/15,7,駐車（輪）場,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,2025/8/20,11,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,2025/9/7,20,道路上,その他,30歳代,その他,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,2025/10/8,6,駐車（輪）場,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,2025/10/19,10,駐車（輪）場,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,2025/11/21,9,駐車（輪）場,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本２丁目,2024/12/31,8,その他,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本２丁目,2025/5/13,6,駐車（輪）場,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本５丁目,2024/11/1,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本９丁目,2024/12/23,10,その他,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本９丁目,2025/5/13,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本９丁目,2025/6/6,8,その他,駐車（輪）場,10歳代,大学生,施錠した
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,西岡本３丁目,2025/1/1,10,道路上,その他,50歳代,その他,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,本山北町１丁目,2025/9/27,22,４階建て以上共同住宅,その他,10歳代,中学生,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,本山北町２丁目,2025/5/5,19,道路上,その他,50歳代,その他,施錠した
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,本山北町２丁目,2025/9/24,22,４階建て以上共同住宅,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,本山北町３丁目,2025/5/16,17,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,東灘,森,281018,兵庫県,神戸市東灘区,本庄町１丁目,2025/5/4,14,４階建て以上共同住宅,その他,20歳代,その他,施錠した
窃盗,自転車盗,東灘,森,281018,兵庫県,神戸市東灘区,本庄町２丁目,2025/8/5,17,その他,駐車（輪）場,50歳代,その他,施錠せず
窃盗,自転車盗,東灘,森,281018,兵庫県,神戸市東灘区,本庄町２丁目,2025/10/26,19,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,東灘,森,281018,兵庫県,神戸市東灘区,本山北町２丁目,2025/1/29,17,その他,駐車（輪）場,10歳代,小学生,施錠せず
窃盗,自転車盗,東灘,森,281018,兵庫県,神戸市東灘区,本山中町１丁目,2025/4/17,16,駐車（輪）場,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,東灘,森,281018,兵庫県,神戸市東灘区,本山中町２丁目,2025/4/5,23,４階建て以上共同住宅,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,東灘,森,281018,兵庫県,神戸市東灘区,本山南町１丁目,2025/1/16,17,４階建て以上共同住宅,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,東灘,森,281018,兵庫県,神戸市東灘区,本山南町２丁目,2025/2/21,12,４階建て以上共同住宅,駐車（輪）場,70歳以上,その他,施錠した
窃盗,自転車盗,東灘,森,281018,兵庫県,神戸市東灘区,本山南町２丁目,2025/8/20,12,４階建て以上共同住宅,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,東灘,森,281018,兵庫県,神戸市東灘区,本山南町６丁目,2025/3/24,17,４階建て以上共同住宅,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,東灘,森,281018,兵庫県,神戸市東灘区,本山南町６丁目,2025/4/17,18,４階建て以上共同住宅,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,東灘,森,281018,兵庫県,神戸市東灘区,本山南町６丁目,2025/12/19,20,その他,駐車（輪）場,20歳代,大学生,施錠せず
