罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,施錠関係,盗難防止装置の有無,現金以外の主な被害品
窃盗,オートバイ盗,灘,桜口,281026,兵庫県,神戸市灘区,中郷町２丁目,2018-08-11,09,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,桜口,281026,兵庫県,神戸市灘区,深田町４丁目,2018-06-27,09,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,灘,西灘,281026,兵庫県,神戸市灘区,岩屋中町１丁目,2018-01-15,18,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,西灘,281026,兵庫県,神戸市灘区,味泥町,2018-06-22,18,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,鶴甲,281026,兵庫県,神戸市灘区,鶴甲１丁目,2018-09-02,13,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,鶴甲,281026,兵庫県,神戸市灘区,鶴甲１丁目,2018-11-25,14,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,鶴甲,281026,兵庫県,神戸市灘区,鶴甲３丁目,2018-08-31,12,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,鶴甲,281026,兵庫県,神戸市灘区,六甲台町,2018-05-18,08,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,鶴甲,281026,兵庫県,神戸市灘区,六甲台町,2018-07-12,16,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,鶴甲,281026,兵庫県,神戸市灘区,六甲台町,2018-08-02,15,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,鶴甲,281026,兵庫県,神戸市灘区,六甲台町,2018-08-24,12,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,葺合,,281107,兵庫県,神戸市中央区,割塚通４丁目,2017-12-26,07,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,葺合,宮本,281107,兵庫県,神戸市中央区,宮本通３丁目,2018-11-24,17,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,生田,一宮,281107,兵庫県,神戸市中央区,山本通１丁目,2018-07-03,06,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,生田,生田前,281107,兵庫県,神戸市中央区,中山手通１丁目,2018-09-21,18,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,生田,京町,281107,兵庫県,神戸市中央区,三宮町１丁目,2018-10-07,14,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,生田,京町,281107,兵庫県,神戸市中央区,三宮町１丁目,2018-12-23,19,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,生田,元町通,281107,兵庫県,神戸市中央区,海岸通,2018-06-28,12,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,生田,デュオこうべ,281107,兵庫県,神戸市中央区,相生町３丁目,2018-05-16,06,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,生田,ハーバーランド,281107,兵庫県,神戸市中央区,東川崎町１丁目,2018-08-25,09,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,兵庫,平野,281051,兵庫県,神戸市兵庫区,上祇園町,2018-01-13,11,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,兵庫,荒田,281051,兵庫県,神戸市兵庫区,荒田町３丁目,2018-07-16,04,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,兵庫,福原,281051,兵庫県,神戸市兵庫区,西多聞通１丁目,2018-05-24,10,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,兵庫,湊川,281051,兵庫県,神戸市兵庫区,湊川町５丁目,2017-03-01,22,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,兵庫,新開地,281051,兵庫県,神戸市兵庫区,大開通１０丁目,2018-09-07,15,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,兵庫,兵庫駅前,281051,兵庫県,神戸市兵庫区,駅南通１丁目,2018-07-01,14,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,兵庫,兵庫駅前,281051,兵庫県,神戸市兵庫区,駅南通５丁目,2017-11-22,00,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,兵庫,七宮,281051,兵庫県,神戸市兵庫区,西柳原町,2018-04-09,16,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,兵庫,七宮,281051,兵庫県,神戸市兵庫区,浜崎通,2018-10-01,18,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,兵庫,中之島,281051,兵庫県,神戸市兵庫区,切戸町,2018-02-18,18,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,兵庫,中之島,281051,兵庫県,神戸市兵庫区,西宮内町,2018-02-24,12,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,兵庫,明親,281051,兵庫県,神戸市兵庫区,松原通４丁目,2018-01-24,20,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,長田,丸山,281069,兵庫県,神戸市長田区,一里山町,2018-03-25,11,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,長田,寺池,281069,兵庫県,神戸市長田区,菅原通６丁目,2018-01-28,11,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,長田,長田,281069,兵庫県,神戸市長田区,丸山町１丁目,2018-01-16,17,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,長田,御蔵,281069,兵庫県,神戸市長田区,北町１丁目,2018-10-27,11,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,長田,湊川大橋,281069,兵庫県,神戸市長田区,東尻池町２丁目,2018-02-19,09,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,長田,大谷,281069,兵庫県,神戸市長田区,御船通１丁目,2018-08-25,13,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,長田,新長田駅前,281069,兵庫県,神戸市長田区,大橋町４丁目,2017-11-01,00,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,長田,新長田駅前,281069,兵庫県,神戸市長田区,大橋町４丁目,2018-02-03,13,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,長田,新長田駅前,281069,兵庫県,神戸市長田区,大橋町１０丁目,2018-03-23,21,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,長田,新長田駅前,281069,兵庫県,神戸市長田区,若松町６丁目,2018-01-17,08,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,長田,新長田駅前,281069,兵庫県,神戸市長田区,若松町６丁目,2018-02-28,19,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,長田,水笠,281069,兵庫県,神戸市長田区,御屋敷通３丁目,2018-12-26,08,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,長田,水笠,281069,兵庫県,神戸市長田区,神楽町２丁目,2018-04-30,22,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,長田,水笠,281069,兵庫県,神戸市長田区,戸崎通３丁目,2018-07-07,08,その他,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,長田,水笠,281069,兵庫県,神戸市長田区,松野通１丁目,2018-05-25,11,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,長田,水笠,281069,兵庫県,神戸市長田区,松野通１丁目,2018-05-25,14,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,長田,水笠,281069,兵庫県,神戸市長田区,松野通２丁目,2018-02-26,09,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,長田,久保,281069,兵庫県,神戸市長田区,二葉町１丁目,2018-03-10,17,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,長田,野田,281069,兵庫県,神戸市長田区,海運町７丁目,2018-02-01,03,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,長田,野田,281069,兵庫県,神戸市長田区,浪松町２丁目,2018-01-31,06,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,須磨,板宿,281077,兵庫県,神戸市須磨区,飛松町３丁目,2018-11-15,19,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,須磨,板宿,281077,兵庫県,神戸市須磨区,前池町２丁目,2018-03-27,12,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,須磨,千歳,281077,兵庫県,神戸市須磨区,戎町１丁目,2018-11-11,04,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,須磨,若木,281077,兵庫県,神戸市須磨区,大池町５丁目,2018-08-25,15,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,須磨,東須磨,281077,兵庫県,神戸市須磨区,南町２丁目,2018-02-05,17,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,須磨,若宮,281077,兵庫県,神戸市須磨区,行幸町１丁目,2018-09-21,21,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,須磨,白川台,281077,兵庫県,神戸市須磨区,白川台２丁目,2015-03-01,00,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,須磨,白川台,281077,兵庫県,神戸市須磨区,白川台５丁目,2018-06-16,18,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,須磨,名谷中央,281077,兵庫県,神戸市須磨区,中落合２丁目,2018-01-29,15,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,須磨,名谷中央,281077,兵庫県,神戸市須磨区,中落合２丁目,2018-01-29,15,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,須磨,名谷中央,281077,兵庫県,神戸市須磨区,中落合２丁目,2018-10-19,08,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,垂水,平尾,281085,兵庫県,神戸市垂水区,乙木３丁目,2018-05-20,21,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,垂水,垂水駅前,281085,兵庫県,神戸市垂水区,海岸通,2018-09-12,11,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,垂水,垂水駅前,281085,兵庫県,神戸市垂水区,日向１丁目,2018-06-02,12,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,垂水,垂水駅前,281085,兵庫県,神戸市垂水区,日向１丁目,2018-06-08,07,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,垂水,垂水駅前,281085,兵庫県,神戸市垂水区,日向１丁目,2018-07-03,07,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,垂水,垂水駅前,281085,兵庫県,神戸市垂水区,日向１丁目,2018-07-20,13,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,垂水,垂水駅前,281085,兵庫県,神戸市垂水区,日向１丁目,2018-08-15,09,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,垂水,北舞子,281085,兵庫県,神戸市垂水区,星陵台４丁目,2018-06-26,12,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,垂水,舞子駅前,281085,兵庫県,神戸市垂水区,東舞子町,2018-10-05,19,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,垂水,上高丸,281085,兵庫県,神戸市垂水区,日向２丁目,2018-08-14,16,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,垂水,明舞,281085,兵庫県,神戸市垂水区,南多聞台２丁目,2018-06-15,22,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,垂水,明舞,281085,兵庫県,神戸市垂水区,南多聞台７丁目,2018-09-24,14,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,垂水,青山台,281085,兵庫県,神戸市垂水区,青山台７丁目,2018-09-12,12,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,垂水,桃山台,281085,兵庫県,神戸市垂水区,下畑町,2013-08-24,12,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,神戸水上,ポートアイランド,281107,兵庫県,神戸市中央区,港島中町３丁目,2018-05-12,18,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,神戸西,上池,281115,兵庫県,神戸市西区,玉津町高津橋,2018-04-07,16,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,神戸西,出合,281115,兵庫県,神戸市西区,玉津町小山,2018-04-20,18,一戸建住宅,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,神戸西,出合,281115,兵庫県,神戸市西区,平野町中津,2018-05-03,11,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,神戸西,伊川谷,281115,兵庫県,神戸市西区,伊川谷町潤和,2018-12-18,19,駐車（輪）場,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,神戸西,伊川谷,281115,兵庫県,神戸市西区,池上１丁目,2018-02-02,21,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,神戸西,伊川谷,281115,兵庫県,神戸市西区,池上３丁目,2018-07-26,22,駐車（輪）場,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,神戸西,伊川谷,281115,兵庫県,神戸市西区,南別府２丁目,2018-07-30,01,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,神戸西,有瀬,281115,兵庫県,神戸市西区,伊川谷町別府,2018-08-05,16,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,神戸西,狩場台,281115,兵庫県,神戸市西区,糀台５丁目,2018-01-19,10,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,神戸西,狩場台,281115,兵庫県,神戸市西区,糀台５丁目,2018-11-28,19,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,有馬,有野,281093,兵庫県,神戸市北区,有野中町３丁目,2018-04-24,19,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,有馬,生野,281093,兵庫県,神戸市北区,道場町生野,2018-09-19,08,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,神戸北,ひよどり台,281093,兵庫県,神戸市北区,ひよどり台５丁目,2018-10-01,18,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,西宮,札場筋,282049,兵庫県,西宮市,六湛寺町,2018-09-21,13,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,西宮,川添,282049,兵庫県,西宮市,建石町,2018-12-21,19,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西宮,市庭,282049,兵庫県,西宮市,川西町,2018-07-13,10,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西宮,市庭,282049,兵庫県,西宮市,川東町,2018-06-14,19,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西宮,西宮浜,282049,兵庫県,西宮市,西宮浜４丁目,2018-09-28,16,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,西宮,寿,282049,兵庫県,西宮市,桜谷町,2018-05-18,18,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西宮,寿,282049,兵庫県,西宮市,桜谷町,2018-06-29,04,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西宮,青木,282049,兵庫県,西宮市,池田町,2018-07-18,12,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西宮,青木,282049,兵庫県,西宮市,津門呉羽町,2018-09-19,11,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西宮,芦原,282049,兵庫県,西宮市,芦原町,2018-08-09,14,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西宮,芦原,282049,兵庫県,西宮市,西福町,2018-07-03,19,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西宮,西宮駅前,282049,兵庫県,西宮市,池田町,2018-06-28,17,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,西宮,西宮駅前,282049,兵庫県,西宮市,池田町,2018-09-07,18,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,西宮,今津駅前,282049,兵庫県,西宮市,津門川町,2018-11-06,16,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西宮,社前,282049,兵庫県,西宮市,今津真砂町,2018-04-25,00,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,西宮,社前,282049,兵庫県,西宮市,今津真砂町,2018-07-18,23,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,西宮,西宮中央,282049,兵庫県,西宮市,北口町,2018-01-02,10,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,西宮,西宮中央,282049,兵庫県,西宮市,高木東町,2017-12-31,08,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,西宮,西宮中央,282049,兵庫県,西宮市,高松町,2018-02-17,12,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,西宮,西宮中央,282049,兵庫県,西宮市,高松町,2018-03-09,22,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西宮,西宮中央,282049,兵庫県,西宮市,高松町,2018-12-07,18,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西宮,西宮中央,282049,兵庫県,西宮市,長田町,2018-11-23,08,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西宮,西宮中央,282049,兵庫県,西宮市,深津町,2018-11-16,18,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,西宮,西宮中央,282049,兵庫県,西宮市,深津町,2018-11-17,08,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西宮,北口西,282049,兵庫県,西宮市,甲風園１丁目,2018-01-23,08,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,西宮,北口西,282049,兵庫県,西宮市,南昭和町,2018-09-14,19,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西宮,上之町,282049,兵庫県,西宮市,日野町,2018-06-17,07,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西宮,上之町,282049,兵庫県,西宮市,門前町,2017-12-30,20,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,西宮,上之町,282049,兵庫県,西宮市,門前町,2018-07-23,07,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,西宮,甲武橋,282049,兵庫県,西宮市,上大市４丁目,2018-06-04,20,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,西宮,甲東園,282049,兵庫県,西宮市,甲東園３丁目,2018-07-23,12,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西宮,甲東園,282049,兵庫県,西宮市,松籟荘,2018-02-04,02,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西宮,上ヶ原,282049,兵庫県,西宮市,上ケ原一番町,2017-07-02,11,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西宮,上ヶ原,282049,兵庫県,西宮市,上ケ原一番町,2018-02-06,14,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西宮,上ヶ原,282049,兵庫県,西宮市,上ケ原三番町,2018-03-28,22,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西宮,上ヶ原,282049,兵庫県,西宮市,仁川町６丁目,2018-06-23,23,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,甲子園,本郷,282049,兵庫県,西宮市,甲子園八番町,2018-11-05,12,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,甲子園,本郷,282049,兵庫県,西宮市,甲子園八番町,2018-11-10,16,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,甲子園,中津,282049,兵庫県,西宮市,甲子園網引町,2018-09-19,17,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,甲子園,中津,282049,兵庫県,西宮市,甲子園網引町,2018-09-19,19,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,甲子園,上甲子園,282049,兵庫県,西宮市,甲子園三番町,2018-09-08,18,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,甲子園,上甲子園,282049,兵庫県,西宮市,甲子園口３丁目,2018-05-12,17,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,甲子園,上甲子園,282049,兵庫県,西宮市,甲子園口３丁目,2018-12-15,17,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,尼崎南,西難波,282022,兵庫県,尼崎市,東難波町３丁目,2018-04-12,05,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
