罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,現金被害の有無
窃盗,自動販売機ねらい,垂水,舞子駅前,281085,兵庫県,神戸市垂水区,狩口台７丁目,2019-01-21,15,道路上,あり
窃盗,自動販売機ねらい,垂水,舞子駅前,281085,兵庫県,神戸市垂水区,東舞子町,2019-01-24,18,道路上,あり
窃盗,自動販売機ねらい,神戸水上,ポートアイランド,281107,兵庫県,神戸市中央区,港島１丁目,2019-05-22,19,その他,あり
窃盗,自動販売機ねらい,神戸水上,ポートアイランド,281107,兵庫県,神戸市中央区,港島２丁目,2019-01-14,08,その他,あり
窃盗,自動販売機ねらい,神戸水上,ポートアイランド,281107,兵庫県,神戸市中央区,港島６丁目,2019-01-18,14,駐車（輪）場,なし
窃盗,自動販売機ねらい,神戸水上,ポートアイランド,281107,兵庫県,神戸市中央区,港島７丁目,2019-01-15,15,その他,あり
窃盗,自動販売機ねらい,神戸水上,ポートアイランド,281107,兵庫県,神戸市中央区,港島７丁目,2019-02-12,15,その他,あり
窃盗,自動販売機ねらい,神戸水上,ポートアイランド,281107,兵庫県,神戸市中央区,港島９丁目,2019-01-18,12,その他,あり
窃盗,自動販売機ねらい,神戸水上,ポートアイランド,281107,兵庫県,神戸市中央区,港島９丁目,2019-01-19,18,その他,あり
窃盗,自動販売機ねらい,神戸西,岩岡,281115,兵庫県,神戸市西区,岩岡町岩岡,2019-01-24,17,その他,あり
窃盗,自動販売機ねらい,神戸西,神出,281115,兵庫県,神戸市西区,神出町小束野,2019-09-21,04,その他,あり
窃盗,自動販売機ねらい,神戸西,神出,281115,兵庫県,神戸市西区,神出町南,2019-02-03,19,その他,あり
窃盗,自動販売機ねらい,神戸西,神出,281115,兵庫県,神戸市西区,神出町南,2019-06-13,11,その他,あり
窃盗,自動販売機ねらい,神戸西,神出,281115,兵庫県,神戸市西区,神出町南,2019-06-15,17,その他,あり
窃盗,自動販売機ねらい,神戸西,高和,281115,兵庫県,神戸市西区,押部谷町高和,2019-08-17,18,その他,あり
窃盗,自動販売機ねらい,神戸西,栄,281115,兵庫県,神戸市西区,見津が丘１丁目,2019-08-10,08,その他,あり
窃盗,自動販売機ねらい,神戸西,栄,281115,兵庫県,神戸市西区,見津が丘１丁目,2019-12-07,12,その他,あり
窃盗,自動販売機ねらい,神戸西,栄,281115,兵庫県,神戸市西区,見津が丘６丁目,2019-10-16,17,その他,あり
窃盗,自動販売機ねらい,神戸西,栄,281115,兵庫県,神戸市西区,見津が丘７丁目,2019-08-31,21,その他,あり
窃盗,自動販売機ねらい,神戸西,栄,281115,兵庫県,神戸市西区,見津が丘７丁目,2019-11-07,15,その他,あり
窃盗,自動販売機ねらい,神戸西,伊川谷,281115,兵庫県,神戸市西区,南別府１丁目,2019-07-30,20,道路上,あり
窃盗,自動販売機ねらい,神戸西,学園駅前,281115,兵庫県,神戸市西区,伊川谷町布施畑,2019-10-06,19,その他,あり
窃盗,自動販売機ねらい,神戸西,井吹台,281115,兵庫県,神戸市西区,井吹台東町７丁目,2019-06-18,22,その他,あり
窃盗,自動販売機ねらい,神戸北,鈴蘭台,281093,兵庫県,神戸市北区,鈴蘭台北町７丁目,2019-11-10,06,道路上,あり
窃盗,自動販売機ねらい,神戸北,北鈴蘭台,281093,兵庫県,神戸市北区,山田町上谷上,2019-01-15,08,その他,あり
窃盗,自動販売機ねらい,神戸北,谷上駅前,281093,兵庫県,神戸市北区,山田町上谷上字ふけ,2019-01-04,09,駐車（輪）場,なし
窃盗,自動販売機ねらい,神戸北,山田中,281093,兵庫県,神戸市北区,山田町西下,2019-11-27,19,駐車（輪）場,あり
窃盗,自動販売機ねらい,神戸北,五葉,281093,兵庫県,神戸市北区,山田町藍那,2019-10-23,13,その他,あり
窃盗,自動販売機ねらい,芦屋,業平橋,282065,兵庫県,芦屋市,津知町,2019-01-25,21,駐車（輪）場,なし
窃盗,自動販売機ねらい,芦屋,宮川,282065,兵庫県,芦屋市,上宮川町,2019-03-08,15,駐車（輪）場,なし
窃盗,自動販売機ねらい,芦屋,岩園,282065,兵庫県,芦屋市,東山町,2019-03-05,14,駐車（輪）場,あり
窃盗,自動販売機ねらい,芦屋,芦屋駅前,282065,兵庫県,芦屋市,大原町,2019-02-25,13,駐車（輪）場,あり
窃盗,自動販売機ねらい,芦屋,南芦屋浜,282065,兵庫県,芦屋市,陽光町,2019-01-17,16,その他,あり
窃盗,自動販売機ねらい,芦屋,南芦屋浜,282065,兵庫県,芦屋市,陽光町,2019-10-01,15,その他,あり
窃盗,自動販売機ねらい,西宮,札場筋,282049,兵庫県,西宮市,鞍掛町,2019-04-03,10,道路上,あり
窃盗,自動販売機ねらい,西宮,札場筋,282049,兵庫県,西宮市,六湛寺町,2019-11-06,08,その他,あり
窃盗,自動販売機ねらい,西宮,札場筋,282049,兵庫県,西宮市,六湛寺町,2019-12-12,16,その他,あり
窃盗,自動販売機ねらい,西宮,市庭,282049,兵庫県,西宮市,中浜町,2019-01-19,18,その他,あり
窃盗,自動販売機ねらい,西宮,市庭,282049,兵庫県,西宮市,中浜町,2019-02-15,21,その他,あり
窃盗,自動販売機ねらい,西宮,市庭,282049,兵庫県,西宮市,中浜町,2019-05-18,21,その他,あり
窃盗,自動販売機ねらい,西宮,市庭,282049,兵庫県,西宮市,中浜町,2019-05-23,21,その他,あり
窃盗,自動販売機ねらい,西宮,越木岩,282049,兵庫県,西宮市,豊楽町,2019-03-21,11,駐車（輪）場,あり
窃盗,自動販売機ねらい,西宮,苦楽園,282049,兵庫県,西宮市,越水字社家郷山,2019-02-13,15,道路上,あり
窃盗,自動販売機ねらい,西宮,寿,282049,兵庫県,西宮市,寿町,2019-03-04,18,その他,あり
窃盗,自動販売機ねらい,西宮,青木,282049,兵庫県,西宮市,青木町,2018-11-22,03,駐車（輪）場,あり
窃盗,自動販売機ねらい,西宮,西宮駅前,282049,兵庫県,西宮市,津門大塚町,2019-01-05,10,駐車（輪）場,あり
窃盗,自動販売機ねらい,西宮,西宮駅前,282049,兵庫県,西宮市,津門大塚町,2019-04-13,21,その他,あり
窃盗,自動販売機ねらい,西宮,西宮駅前,282049,兵庫県,西宮市,津門大塚町,2019-09-07,20,その他,あり
窃盗,自動販売機ねらい,西宮,西宮駅前,282049,兵庫県,西宮市,津門大塚町,2019-11-19,20,その他,あり
窃盗,自動販売機ねらい,西宮,西宮駅前,282049,兵庫県,西宮市,津門大塚町,2019-11-30,10,その他,あり
窃盗,自動販売機ねらい,西宮,今津駅前,282049,兵庫県,西宮市,津門川町,2019-01-05,11,駐車（輪）場,あり
窃盗,自動販売機ねらい,西宮,今津駅前,282049,兵庫県,西宮市,津門呉羽町,2018-10-24,11,駐車（輪）場,なし
窃盗,自動販売機ねらい,西宮,今津駅前,282049,兵庫県,西宮市,津門宝津町,2018-11-22,13,駐車（輪）場,あり
窃盗,自動販売機ねらい,西宮,社前,282049,兵庫県,西宮市,今津巽町,2019-03-28,09,その他,なし
窃盗,自動販売機ねらい,西宮,社前,282049,兵庫県,西宮市,津門大塚町,2019-07-19,16,その他,あり
窃盗,自動販売機ねらい,西宮,社前,282049,兵庫県,西宮市,浜松原町,2019-04-03,22,その他,あり
窃盗,自動販売機ねらい,西宮,西宮中央,282049,兵庫県,西宮市,高畑町,2018-12-07,16,道路上,あり
窃盗,自動販売機ねらい,西宮,西宮中央,282049,兵庫県,西宮市,深津町,2019-02-26,17,道路上,あり
窃盗,自動販売機ねらい,西宮,北口西,282049,兵庫県,西宮市,丸橋町,2019-09-20,19,駐車（輪）場,あり
窃盗,自動販売機ねらい,西宮,北口西,282049,兵庫県,西宮市,南昭和町,2019-01-03,02,駐車（輪）場,あり
窃盗,自動販売機ねらい,西宮,甲武橋,282049,兵庫県,西宮市,樋ノ口町２丁目,2019-11-15,12,その他,あり
窃盗,自動販売機ねらい,西宮,上ヶ原,282049,兵庫県,西宮市,仁川町６丁目,2019-01-08,10,その他,あり
窃盗,自動販売機ねらい,西宮,生瀬,282049,兵庫県,西宮市,塩瀬町生瀬,2019-12-13,17,その他,あり
窃盗,自動販売機ねらい,甲子園,本郷,282049,兵庫県,西宮市,甲子園七番町,2019-01-19,13,駐車（輪）場,あり
窃盗,自動販売機ねらい,甲子園,小松,282049,兵庫県,西宮市,甲子園四番町,2019-07-05,11,その他,あり
窃盗,自動販売機ねらい,甲子園,上田,282049,兵庫県,西宮市,東鳴尾町１丁目,2019-08-20,14,道路上,あり
窃盗,自動販売機ねらい,甲子園,枝川,282049,兵庫県,西宮市,枝川町,2018-12-29,14,その他,あり
窃盗,自動販売機ねらい,甲子園,枝川,282049,兵庫県,西宮市,枝川町,2019-01-19,11,その他,あり
窃盗,自動販売機ねらい,甲子園,枝川,282049,兵庫県,西宮市,枝川町,2019-02-20,20,その他,あり
窃盗,自動販売機ねらい,甲子園,枝川,282049,兵庫県,西宮市,枝川町,2019-10-04,21,その他,あり
窃盗,自動販売機ねらい,甲子園,中津,282049,兵庫県,西宮市,甲子園高潮町,2019-04-03,08,道路上,あり
窃盗,自動販売機ねらい,甲子園,中津,282049,兵庫県,西宮市,甲子園浜３丁目,2019-01-13,21,駐車（輪）場,なし
窃盗,自動販売機ねらい,甲子園,上甲子園,282049,兵庫県,西宮市,戸崎町,2019-01-09,13,駐車（輪）場,なし
窃盗,自動販売機ねらい,甲子園,高須,282049,兵庫県,西宮市,鳴尾浜１丁目,2019-02-13,19,その他,あり
窃盗,自動販売機ねらい,尼崎南,昭和通,282022,兵庫県,尼崎市,神田北通５丁目,2019-04-05,11,駐車（輪）場,あり
窃盗,自動販売機ねらい,尼崎南,竹谷,282022,兵庫県,尼崎市,西本町８丁目,2019-04-09,15,道路上,あり
窃盗,自動販売機ねらい,尼崎南,中央,282022,兵庫県,尼崎市,神田北通４丁目,2018-12-29,17,道路上,あり
窃盗,自動販売機ねらい,尼崎南,中央,282022,兵庫県,尼崎市,神田中通４丁目,2018-12-31,07,道路上,あり
窃盗,自動販売機ねらい,尼崎南,中央,282022,兵庫県,尼崎市,東海岸町,2019-12-20,23,その他,あり
窃盗,自動販売機ねらい,尼崎南,大島,282022,兵庫県,尼崎市,稲葉荘２丁目,2019-01-14,22,道路上,あり
窃盗,自動販売機ねらい,尼崎南,七松,282022,兵庫県,尼崎市,神田中通７丁目,2019-01-05,10,駐車（輪）場,あり
窃盗,自動販売機ねらい,尼崎南,七松,282022,兵庫県,尼崎市,七松町３丁目,2019-01-05,13,駐車（輪）場,あり
窃盗,自動販売機ねらい,尼崎南,稲葉荘,282022,兵庫県,尼崎市,稲葉荘４丁目,2019-10-11,00,その他,あり
窃盗,自動販売機ねらい,尼崎南,大庄,282022,兵庫県,尼崎市,大島３丁目,2019-03-07,12,道路上,あり
窃盗,自動販売機ねらい,尼崎南,元浜,282022,兵庫県,尼崎市,扇町,2019-10-27,16,その他,あり
窃盗,自動販売機ねらい,尼崎南,元浜,282022,兵庫県,尼崎市,鶴町,2019-01-17,19,駐車（輪）場,あり
窃盗,自動販売機ねらい,尼崎南,元浜,282022,兵庫県,尼崎市,鶴町,2019-01-17,19,その他,あり
窃盗,自動販売機ねらい,尼崎南,元浜,282022,兵庫県,尼崎市,丸島町,2019-05-26,17,道路上,あり
窃盗,自動販売機ねらい,尼崎南,元浜,282022,兵庫県,尼崎市,丸島町,2019-05-31,18,道路上,あり
窃盗,自動販売機ねらい,尼崎南,元浜,282022,兵庫県,尼崎市,丸島町,2019-05-31,19,その他,あり
窃盗,自動販売機ねらい,尼崎南,センタープール前,282022,兵庫県,尼崎市,琴浦町,2019-02-23,12,道路上,あり
窃盗,自動販売機ねらい,尼崎南,センタープール前,282022,兵庫県,尼崎市,水明町,2019-04-06,04,道路上,なし
窃盗,自動販売機ねらい,尼崎南,センタープール前,282022,兵庫県,尼崎市,水明町,2019-04-12,01,その他,あり
窃盗,自動販売機ねらい,尼崎南,センタープール前,282022,兵庫県,尼崎市,道意町５丁目,2019-11-08,11,駐車（輪）場,なし
窃盗,自動販売機ねらい,尼崎南,センタープール前,282022,兵庫県,尼崎市,武庫川町４丁目,2019-04-03,13,道路上,あり
窃盗,自動販売機ねらい,尼崎南,センタープール前,282022,兵庫県,尼崎市,大庄西町１丁目,2019-04-26,15,駐車（輪）場,なし
窃盗,自動販売機ねらい,尼崎南,センタープール前,282022,兵庫県,尼崎市,大庄西町４丁目,2019-04-05,17,その他,あり
窃盗,自動販売機ねらい,尼崎南,センタープール前,282022,兵庫県,尼崎市,大庄西町４丁目,2019-05-09,18,その他,あり
窃盗,自動販売機ねらい,尼崎南,センタープール前,282022,兵庫県,尼崎市,大庄西町４丁目,2019-11-07,05,駐車（輪）場,なし
窃盗,自動販売機ねらい,尼崎東,稲川橋,282022,兵庫県,尼崎市,杭瀬北新町４丁目,2019-05-06,13,駐車（輪）場,あり
窃盗,自動販売機ねらい,尼崎東,杭瀬,282022,兵庫県,尼崎市,長洲本通２丁目,2019-01-07,15,駐車（輪）場,なし
窃盗,自動販売機ねらい,尼崎東,常光寺,282022,兵庫県,尼崎市,今福１丁目,2019-02-05,19,その他,あり
窃盗,自動販売機ねらい,尼崎東,常光寺,282022,兵庫県,尼崎市,今福１丁目,2019-10-04,17,道路上,あり
窃盗,自動販売機ねらい,尼崎東,常光寺,282022,兵庫県,尼崎市,常光寺１丁目,2019-09-28,19,その他,あり
窃盗,自動販売機ねらい,尼崎東,常光寺,282022,兵庫県,尼崎市,常光寺１丁目,2019-10-01,21,その他,あり
